match_id,year,stage,home_team,away_team,home_score,away_score,t1_xg,t2_xg,t1_xga,t2_xga,t1_pos,t2_pos,t1_ppda,t2_ppda,t1_press,t2_press,t1_xg_per_shot,t2_xg_per_shot,result,xG_diff,xGA_diff,pos_diff,ppda_diff,press_diff,xg_quality_diff
8650,2018,Quarter-finals,Brazil,Belgium,1,2,2.6091956661999998,0.40525613299999996,0.40525613299999996,2.6091956661999998,54.38840902758428,45.61159097241572,1.994818652849741,1.4943820224719102,168,330,0.10436782664799998,0.050657016624999995,0,2.2039395332,2.2039395332,8.776818055168562,-0.5004366303778307,-162,0.05371081002299999
7584,2018,Round of 16,Belgium,Japan,3,2,2.9178317195,0.6937694522000001,0.6937694522000001,2.9178317195,55.85464333781965,44.145356662180355,2.8385093167701863,3.121212121212121,140,167,0.10420827569642857,0.05781412101666667,1,2.2240622673,2.2240622673,11.709286675639298,0.28270280444193485,-27,0.0463941546797619
7554,2018,Group Stage,England,Panama,6,1,3.168321031,1.0800387518,1.0800387518,3.168321031,58.66218863699972,41.337811363000284,2.1481481481481484,3.3351648351648353,172,169,0.2880291846363636,0.135004843975,1,2.0882822792,2.0882822792,17.32437727399944,1.187016687016687,3,0.1530243406613636
7539,2018,Group Stage,Poland,Senegal,1,2,1.042323384,1.4277506340000001,1.4277506340000001,1.042323384,57.27509401214926,42.72490598785074,2.287425149700599,2.2941176470588234,148,221,0.10423233839999999,0.20396437628571432,0,-0.3854272500000002,-0.3854272500000002,14.55018802429852,0.006692497358224525,-73,-0.09973203788571433
7550,2018,Group Stage,Serbia,Switzerland,1,2,1.153485278,1.5573086895,1.5573086895,1.153485278,43.42446043165468,56.57553956834532,1.7366771159874608,2.103030303030303,296,147,0.09612377316666666,0.0819636152368421,0,-0.4038234114999999,-0.4038234114999999,-13.15107913669064,0.36635318704284225,149,0.014160157929824557
7538,2018,Group Stage,Sweden,South Korea,1,0,2.015124456,0.414372021,0.414372021,2.015124456,53.51299326275265,46.487006737247356,2.8088235294117645,2.7572254335260116,115,148,0.1259452785,0.0828744042,1,1.6007524350000002,1.6007524350000002,7.025986525505296,-0.051598095885752926,-33,0.043070874300000006
7534,2018,Group Stage,Germany,Mexico,0,1,2.2992588492,0.9932887669999999,0.9932887669999999,2.2992588492,58.666306695464364,41.333693304535636,1.732620320855615,1.6595174262734584,165,324,0.08843303266153847,0.08277406391666665,0,1.3059700822000002,1.3059700822000002,17.332613390928728,-0.07310289458215657,-159,0.005658968744871817
7543,2018,Group Stage,Iran,Spain,0,1,0.426459236,2.1969543835000005,2.1969543835000005,0.426459236,30.4029304029304,69.59706959706959,2.7755102040816326,1.7583892617449663,255,139,0.07107653933333334,0.12205302130555558,0,-1.7704951475000006,-1.7704951475000006,-39.19413919413919,-1.0171209423366663,116,-0.05097648197222224
7544,2018,Group Stage,Uruguay,Saudi Arabia,1,0,1.8073869310000001,0.2734858323,0.2734858323,1.8073869310000001,48.07692307692308,51.92307692307693,2.1954887218045114,2.468599033816425,240,173,0.1290990665,0.0341857290375,1,1.5339010987000001,1.5339010987000001,-3.8461538461538467,0.2731103120119136,67,0.0949133374625
7546,2018,Group Stage,France,Peru,1,0,1.862419556,0.625221235,0.625221235,1.862419556,48.85088188134687,51.14911811865313,1.4850948509485096,2.39010989010989,329,161,0.15520162966666667,0.05210176958333334,1,1.2371983210000002,1.2371983210000002,-2.2982362373062557,0.9050150391613805,168,0.10309986008333333
7545,2018,Group Stage,Argentina,Croatia,0,3,1.2180579430000003,1.8317100519999998,1.8317100519999998,1.2180579430000003,58.446433727981514,41.553566272018486,1.4360902255639099,2.40990990990991,236,194,0.12180579430000002,0.13083643228571426,0,-0.6136521089999996,-0.6136521089999996,16.892867455963028,0.9738196843460001,42,-0.00903063798571424
7569,2018,Group Stage,Panama,Tunisia,1,2,0.6907955865,2.852455004,2.852455004,0.6907955865,35.542521994134894,64.4574780058651,3.272727272727273,1.7218934911242603,170,147,0.07675506516666666,0.19016366693333334,0,-2.1616594175,-2.1616594175,-28.914956011730204,-1.5508337816030127,23,-0.11340860176666667
7572,2018,Group Stage,Japan,Poland,0,1,0.8906295785,1.040714051,1.040714051,0.8906295785,52.62871152274584,47.371288477254154,2.5589743589743588,3.4327485380116958,176,152,0.08096632531818182,0.09461036827272727,0,-0.1500844724999999,-0.1500844724999999,5.257423045491684,0.873774179037337,24,-0.013644042954545452
7561,2018,Group Stage,Iceland,Croatia,1,2,2.1326869014999996,0.6739287970000001,0.6739287970000001,2.1326869014999996,39.127819548872175,60.872180451127825,2.106299212598425,1.3565573770491803,232,216,0.12545217067647058,0.0518406766923077,0,1.4587581044999995,1.4587581044999995,-21.74436090225565,-0.7497418355492447,16,0.07361149398416288
7540,2018,Group Stage,Russia,Egypt,3,1,0.9811507970000001,1.697518253,1.697518253,0.9811507970000001,49.313022700119475,50.68697729988052,2.293838862559242,2.3467336683417086,184,164,0.08176256641666667,0.11316788353333333,1,-0.7163674559999998,-0.7163674559999998,-1.373954599761042,0.05289480578246675,20,-0.031405317116666664
7570,2018,Group Stage,England,Belgium,0,1,1.2006863693,0.965334323,0.965334323,1.2006863693,46.01103863522329,53.98896136477672,3.347058823529412,1.8623188405797102,149,254,0.10005719744166668,0.06895245164285714,0,0.23535204630000006,0.23535204630000006,-7.977922729553434,-1.4847399829497017,-105,0.031104745798809535
7586,2018,Round of 16,Sweden,Switzerland,1,0,0.910466011,0.5329880485,0.5329880485,0.910466011,38.33634719710669,61.66365280289331,1.921875,2.1560283687943262,282,121,0.07587216758333333,0.03331175303125,1,0.3774779625,0.3774779625,-23.32730560578662,0.23415336879432624,161,0.04256041455208333
7542,2018,Group Stage,Portugal,Morocco,1,0,0.8849862430000001,1.4551028735,1.4551028735,0.8849862430000001,44.37249460376195,55.62750539623805,3.2037037037037037,2.629139072847682,122,120,0.07374885358333334,0.0855942866764706,1,-0.5701166304999999,-0.5701166304999999,-11.2550107924761,-0.5745646308560217,2,-0.01184543309313725
8656,2018,Semi-finals,Croatia,England,2,1,2.1413194335,0.5466641000000001,0.5466641000000001,2.1413194335,51.932773109243705,48.0672268907563,2.7258883248730963,1.8121546961325967,177,326,0.09733270152272727,0.04969673636363637,1,1.5946553335,1.5946553335,3.8655462184874025,-0.9137336287404996,-149,0.0476359651590909
7548,2018,Group Stage,Brazil,Costa Rica,2,0,3.0963627985,0.158693415,0.158693415,3.0963627985,68.15372211771029,31.84627788228971,2.296875,4.189944134078212,105,148,0.1346244695,0.03967335375,1,2.9376693835,2.9376693835,36.307444235420576,1.8930691340782122,-43,0.09495111575000001
7578,2018,Group Stage,Egypt,Uruguay,0,1,0.36448845500000004,1.9408185930000001,1.9408185930000001,0.36448845500000004,43.87972325705162,56.12027674294837,3.130653266331658,2.93125,166,119,0.045561056875000006,0.12130116206250001,0,-1.576330138,-1.576330138,-12.240553485896747,-0.19940326633165828,47,-0.0757401051875
7553,2018,Group Stage,South Korea,Mexico,1,2,0.821793252,1.8775517199999998,1.8775517199999998,0.821793252,45.84727715241862,54.15272284758138,2.0121951219512195,2.5174825174825175,227,110,0.048340779529411765,0.13411083714285713,0,-1.0557584679999998,-1.0557584679999998,-8.30544569516276,0.505287395531298,117,-0.08577005761344536
7536,2018,Group Stage,Belgium,Panama,3,0,1.212055155,0.62535498,0.62535498,1.212055155,58.95685417804478,41.04314582195522,1.7009345794392523,2.30188679245283,192,237,0.080803677,0.08933642571428571,1,0.586700175,0.586700175,17.913708356089558,0.6009522130135778,-45,-0.008532748714285707
7555,2018,Group Stage,Poland,Colombia,0,3,1.1141978379999997,1.3869427573000002,1.3869427573000002,1.1141978379999997,43.74499866631101,56.25500133368898,2.292887029288703,1.8211382113821137,202,220,0.10129071254545452,0.10668790440769232,0,-0.27274491930000044,-0.27274491930000044,-12.510002667377968,-0.4717488179065892,-18,-0.0053971918622378046
7565,2018,Group Stage,Serbia,Brazil,0,2,0.9483194610000001,1.419809182,1.419809182,0.9483194610000001,46.28949301983835,53.71050698016164,1.6448362720403022,3.147887323943662,368,104,0.0862108600909091,0.09465394546666667,0,-0.471489721,-0.471489721,-7.421013960323286,1.5030510519033597,264,-0.008443085375757567
7551,2018,Group Stage,Germany,Sweden,2,1,1.318084832,0.8151666949999999,0.8151666949999999,1.318084832,70.95375722543352,29.046242774566473,1.2513368983957218,3.121739130434783,169,194,0.07322693511111111,0.11645238499999999,1,0.5029181370000001,0.5029181370000001,41.90751445086705,1.870402232039061,-25,-0.04322544988888888
7537,2018,Group Stage,Tunisia,England,1,2,0.945653212,2.6264497449999995,2.6264497449999995,0.945653212,43.65839909808343,56.34160090191658,1.8874172185430464,1.7951219512195122,265,188,0.15760886866666665,0.1459138747222222,0,-1.6807965329999996,-1.6807965329999996,-12.68320180383315,-0.09229526732353421,77,0.011694993944444454
7580,2018,Round of 16,France,Argentina,4,3,1.6380270319999999,1.446559447,1.446559447,1.6380270319999999,44.09692871231333,55.903071287686664,1.742671009771987,1.7587939698492463,281,180,0.18200300355555554,0.12054662058333333,1,0.19146758499999983,0.19146758499999983,-11.806142575373336,0.01612296007725922,101,0.06145638297222221
7549,2018,Group Stage,Nigeria,Iceland,2,0,1.312159326,1.552161967,1.552161967,1.312159326,55.327741534638086,44.672258465361914,2.2751677852348995,1.7344262295081967,132,285,0.07718584270588236,0.1552161967,1,-0.24000264100000002,-0.24000264100000002,10.655483069276173,-0.5407415557267028,-153,-0.07803035399411765
7529,2018,Group Stage,Croatia,Nigeria,2,0,1.6944666339999999,0.7623215977000002,0.7623215977000002,1.6944666339999999,53.915662650602414,46.08433734939759,2.2606382978723403,2.907514450867052,160,152,0.15404242127272727,0.058640122900000015,1,0.9321450362999997,0.9321450362999997,7.831325301204821,0.6468761529947118,8,0.09540229837272726
7562,2018,Group Stage,Australia,Peru,0,2,1.629269625,0.3363750876,0.3363750876,1.629269625,55.53719008264463,44.46280991735537,1.5672727272727274,2.5442477876106193,244,200,0.1018293515625,0.0840937719,0,1.2928945374,1.2928945374,11.074380165289256,0.9769750603378919,44,0.0177355796625
7571,2018,Group Stage,Senegal,Colombia,0,1,0.360865074,0.28486186999999996,0.28486186999999996,0.360865074,45.56107954545455,54.43892045454546,1.8790322580645162,2.8521739130434782,217,96,0.05155215342857143,0.07121546749999999,0,0.07600320400000005,0.07600320400000005,-8.877840909090914,0.973141654978962,121,-0.01966331407142856
7530,2018,Group Stage,France,Australia,2,1,1.561557064,0.980031062,0.980031062,1.561557064,54.57949308755761,45.4205069124424,2.8461538461538463,3.8125,136,113,0.13012975533333335,0.1960062124,1,0.581526002,0.581526002,9.15898617511521,0.9663461538461537,23,-0.06587645706666664
7558,2018,Group Stage,Uruguay,Russia,3,0,2.4825809298,0.180184531,0.180184531,2.4825809298,56.670746634026926,43.329253365973074,2.317073170731707,2.1646090534979425,146,218,0.1551613081125,0.06006151033333334,1,2.3023963988,2.3023963988,13.341493268053853,-0.15246411723376463,-72,0.09509979777916666
7583,2018,Round of 16,Brazil,Mexico,2,0,3.320421268,0.58279982,0.58279982,3.320421268,51.13468906572355,48.86531093427645,1.494773519163763,2.2527472527472527,257,153,0.17475901410526315,0.04162855857142857,1,2.737621448,2.737621448,2.269378131447098,0.7579737335834897,104,0.13313045553383457
7535,2018,Group Stage,Costa Rica,Serbia,0,1,0.5960217237,1.9925690040000001,1.9925690040000001,0.5960217237,51.30380144517751,48.696198554822494,3.569105691056911,3.185430463576159,97,126,0.05960217237,0.166047417,0,-1.3965472803,-1.3965472803,2.607602890355018,-0.3836752274807518,-29,-0.10644524463
8649,2018,Quarter-finals,Uruguay,France,0,2,0.693195278,0.5387829577000001,0.5387829577000001,0.693195278,40.059259259259264,59.940740740740736,2.739130434782609,1.7512437810945274,182,171,0.0693195278,0.04898026888181819,0,0.15441232029999996,0.15441232029999996,-19.881481481481472,-0.9878866536880815,11,0.020339258918181814
8658,2018,Final,France,Croatia,4,2,1.097963608,1.4802876897,1.4802876897,1.097963608,39.355271994627266,60.64472800537274,2.978494623655914,2.4745762711864407,157,97,0.137245451,0.09868584597999999,1,-0.3823240817,-0.3823240817,-21.289456010745475,-0.5039183524694733,60,0.03855960502
7552,2018,Group Stage,Belgium,Tunisia,5,2,5.336422204999999,1.1881780826,1.1881780826,5.336422204999999,50.18662072925639,49.81337927074361,2.5380434782608696,1.5939597315436242,160,272,0.23201835673913038,0.0698928283882353,1,4.1482441223999995,4.1482441223999995,0.3732414585127799,-0.9440837467172454,-112,0.16212552835089508
7532,2018,Group Stage,Peru,Denmark,0,1,1.926378192,1.1215676380000001,1.1215676380000001,1.926378192,50.887956086535354,49.112043913464646,2.7162162162162162,2.175,121,170,0.11331636423529412,0.10196069436363638,0,0.8048105539999999,0.8048105539999999,1.775912173070708,-0.5412162162162164,-49,0.011355669871657745
7564,2018,Group Stage,Nigeria,Argentina,1,2,1.305345181,0.8505598590000001,0.8505598590000001,1.305345181,41.278903796745645,58.721096203254355,1.7196531791907514,2.050955414012739,302,134,0.14503835344444446,0.10631998237500001,0,0.454785322,0.454785322,-17.44219240650871,0.3313022348219874,168,0.03871837106944445
7579,2018,Round of 16,Uruguay,Portugal,2,1,0.47600794099999993,0.9955767281,0.9955767281,0.47600794099999993,37.79724655819774,62.20275344180225,2.671171171171171,2.346774193548387,183,98,0.06800113442857142,0.04740841562380952,1,-0.5195687871000001,-0.5195687871000001,-24.40550688360451,-0.3243969776227842,85,0.0205927188047619
7577,2018,Group Stage,Morocco,Iran,0,1,1.0591950264999999,0.6975558776999999,0.6975558776999999,1.0591950264999999,60.7304347826087,39.2695652173913,1.5170454545454546,2.1769911504424777,149,208,0.07565678760714285,0.08719448471249999,0,0.3616391487999999,0.3616391487999999,21.460869565217394,0.6599456958970231,-59,-0.01153769710535714
7525,2018,Group Stage,Russia,Saudi Arabia,5,0,1.2816009420000003,0.24880649999999999,0.24880649999999999,1.2816009420000003,41.41048824593128,58.58951175406871,3.4251497005988023,2.5866666666666664,147,121,0.09154292442857145,0.04146775,1,1.0327944420000004,1.0327944420000004,-17.179023508137426,-0.8384830339321359,26,0.050075174428571456
7566,2018,Group Stage,Mexico,Sweden,0,3,1.6107035277000001,2.7904868150000004,2.7904868150000004,1.6107035277000001,62.41610738255034,37.58389261744966,2.309090909090909,2.3962264150943398,89,182,0.07321379671363637,0.18603245433333335,0,-1.1797832873000003,-1.1797832873000003,24.832214765100673,0.08713550600343067,-93,-0.11281865761969698
8651,2018,Quarter-finals,Sweden,England,0,2,0.834186639,0.75823599,0.75823599,0.834186639,45.382985165001514,54.61701483499849,1.989399293286219,3.252032520325203,254,104,0.104273329875,0.0631863325,0,0.07595064900000004,0.07595064900000004,-9.234029669996978,1.2626332270389842,150,0.041086997375
7567,2018,Group Stage,South Korea,Germany,2,0,1.774630282,2.7064005620000002,2.7064005620000002,1.774630282,34.277238403451996,65.72276159654801,2.224242424242424,1.8768115942028984,292,114,0.14788585683333333,0.09332415731034484,1,-0.9317702800000003,-0.9317702800000003,-31.445523193096015,-0.3474308300395257,178,0.05456169952298849
7541,2018,Group Stage,Colombia,Japan,1,2,0.8062560289999999,2.3206739599999997,2.3206739599999997,0.8062560289999999,43.37037994313776,56.62962005686224,2.3161764705882355,2.0485436893203883,248,172,0.0806256029,0.1657624257142857,0,-1.5144179309999997,-1.5144179309999997,-13.259240113724474,-0.2676327812678472,76,-0.08513682281428571
8655,2018,Semi-finals,France,Belgium,1,0,1.681686764,0.5668682939999999,0.5668682939999999,1.681686764,39.77340488968396,60.22659511031604,3.7083333333333335,3.1913043478260867,149,97,0.08850982968421052,0.06298536599999999,1,1.11481847,1.11481847,-20.45319022063208,-0.5170289855072467,52,0.025524463684210533
8657,2018,3rd Place Final,Belgium,England,2,0,1.32065846,1.335356625,1.335356625,1.32065846,43.62855851784907,56.37144148215093,2.464028776978417,1.6360655737704919,259,274,0.12005986,0.089023775,1,-0.014698164999999985,-0.014698164999999985,-12.742882964301856,-0.8279632032079252,-15,0.031036085000000005
7559,2018,Group Stage,Saudi Arabia,Egypt,2,1,2.545815476,0.92372594,0.92372594,2.545815476,62.17697729052467,37.82302270947533,1.6919642857142858,3.2878048780487803,198,178,0.12122930838095239,0.1154657425,1,1.622089536,1.622089536,24.353954581049337,1.5958405923344945,20,0.005763565880952393
3857276,2022,Group Stage,Canada,Morocco,1,2,1.095618012,0.42640382499999996,0.42640382499999996,1.095618012,56.552538370720185,43.44746162927981,2.4873417721518987,3.1049723756906076,135,154,0.2191236024,0.06091483214285714,0,0.6692141870000001,0.6692141870000001,13.105076741440378,0.6176306035387089,-19,0.15820877025714286
3857271,2022,Group Stage,England,Iran,6,2,1.987157745,1.4556585987,1.4556585987,1.987157745,71.77308851740203,28.22691148259797,2.058333333333333,4.726256983240224,101,141,0.1528582880769231,0.1819573248375,1,0.5314991463000001,0.5314991463000001,43.54617703480406,2.6679236499068906,-40,-0.029099036760576902
3857255,2022,Group Stage,Japan,Spain,2,1,1.157800672,0.8577122079999998,0.8577122079999998,1.157800672,24.0,76.0,4.063197026022305,2.3867924528301887,229,89,0.19296677866666667,0.07147601733333332,1,0.3000884640000002,0.3000884640000002,-52.0,-1.6764045731921162,140,0.12149076133333335
3857278,2022,Group Stage,Iran,United States,0,1,0.9207899420000001,1.169654601,1.169654601,0.9207899420000001,48.414905450500555,51.585094549499445,2.8251366120218577,3.21875,150,140,0.23019748550000002,0.09747121674999999,0,-0.24886465899999988,-0.24886465899999988,-3.1701890989988897,0.39361338797814227,10,0.13272626875000004
3857273,2022,Group Stage,Wales,Iran,0,2,0.6156351910000001,1.4539579476000002,1.4539579476000002,0.6156351910000001,59.94254707947654,40.05745292052346,2.880952380952381,2.8520408163265305,90,161,0.061563519100000005,0.06923609274285715,0,-0.8383227566000001,-0.8383227566000001,19.88509415895308,-0.028911564625850428,-71,-0.0076725736428571445
